Date,Open,High,Low,Close,Volume,closeTime,QuoteVolume,Trades,TakerBuyBase,TakerBuyQuote,openTimeStamp,closeTimeStamp
2025-10-26 10:00:00+00:00,112528.82,112571.26,112189.33,112477.1,337.77399,2025-10-26 10:59:59.999000+00:00,37959014.6166376,88572,181.2106,20364912.5583027,1761472800000,1761476399999
2025-10-26 11:00:00+00:00,112477.11,113466.23,112430.56,113286.09,1079.09408,2025-10-26 11:59:59.999000+00:00,121956369.6921027,205998,578.25497,65336568.3967869,1761476400000,1761479999999
2025-10-26 12:00:00+00:00,113286.09,113827.02,113279.85,113575.05,1229.55057,2025-10-26 12:59:59.999000+00:00,139687655.7270466,220452,696.26416,79099522.5704888,1761480000000,1761483599999
2025-10-26 13:00:00+00:00,113575.06,114000.0,113283.8,113711.53,1099.62143,2025-10-26 13:59:59.999000+00:00,124995222.4518021,191962,559.27566,63578183.5853438,1761483600000,1761487199999
2025-10-26 14:00:00+00:00,113711.53,113885.27,113544.02,113575.36,739.58798,2025-10-26 14:59:59.999000+00:00,84138204.7296173,133269,364.55615,41476926.3265034,1761487200000,1761490799999
2025-10-26 15:00:00+00:00,113575.35,113725.48,113425.87,113694.97,437.55153,2025-10-26 15:59:59.999000+00:00,49674300.5646494,92575,190.49933,21629902.5667641,1761490800000,1761494399999
2025-10-26 16:00:00+00:00,113694.97,113761.98,113290.62,113517.53,556.71599,2025-10-26 16:59:59.999000+00:00,63205146.6117552,97012,285.25983,32387455.5940339,1761494400000,1761497999999
2025-10-26 17:00:00+00:00,113517.54,113747.85,113442.12,113442.13,319.42533,2025-10-26 17:59:59.999000+00:00,36287841.909352,63703,163.27617,18549788.1575053,1761498000000,1761501599999
2025-10-26 18:00:00+00:00,113442.14,113793.93,113442.13,113575.15,279.3019,2025-10-26 18:59:59.999000+00:00,31735590.0311944,61585,139.21072,15816663.8629791,1761501600000,1761505199999
2025-10-26 19:00:00+00:00,113575.15,113720.63,113503.82,113585.99,204.67267,2025-10-26 19:59:59.999000+00:00,23250714.5871671,41932,112.88074,12822509.6897056,1761505200000,1761508799999
2025-10-26 20:00:00+00:00,113585.98,113585.98,113283.11,113320.8,248.1548,2025-10-26 20:59:59.999000+00:00,28159853.5781691,45675,72.66625,8244310.6283075,1761508800000,1761512399999
2025-10-26 21:00:00+00:00,113320.8,113590.48,112901.0,113497.06,464.11186,2025-10-26 21:59:59.999000+00:00,52572277.8982129,110824,225.71993,25571987.4762319,1761512400000,1761515999999
2025-10-26 22:00:00+00:00,113497.06,115466.8,113497.06,114681.33,2524.96249,2025-10-26 22:59:59.999000+00:00,289373807.86215127,344573,1375.06803,157548568.0687469,1761516000000,1761519599999
2025-10-26 23:00:00+00:00,114681.34,114966.15,114385.13,114559.4,670.95687,2025-10-26 23:59:59.999000+00:00,76912021.195121,151190,316.21812,36245663.6692331,1761519600000,1761523199999
2025-10-27 00:00:00+00:00,114559.41,115176.47,114362.26,114767.29,1142.27258,2025-10-27 00:59:59.999000+00:00,131165892.0243273,187126,613.06213,70398701.2476278,1761523200000,1761526799999
2025-10-27 01:00:00+00:00,114767.28,115388.96,114710.92,115284.01,725.93495,2025-10-27 01:59:59.999000+00:00,83572263.2569494,145309,373.84013,43038763.8386857,1761526800000,1761530399999
2025-10-27 02:00:00+00:00,115284.01,115445.39,114815.6,114883.39,826.25748,2025-10-27 02:59:59.999000+00:00,95109223.6761735,131446,360.02157,41453681.1097202,1761530400000,1761533999999
2025-10-27 03:00:00+00:00,114883.4,115242.65,114829.48,114958.51,587.18766,2025-10-27 03:59:59.999000+00:00,67529560.9976666,113350,242.80188,27924252.3910726,1761534000000,1761537599999
2025-10-27 04:00:00+00:00,114958.52,115283.27,114938.01,115256.44,400.40691,2025-10-27 04:59:59.999000+00:00,46110129.1747106,72910,195.00136,22454632.3558837,1761537600000,1761541199999
